Well_orderAsTracked,Treatment,Empty,Male,Plate
118,Half Yeast,F,F,5
119,No Yeast,F,F,5
120,No Yeast,F,F,5
121,Full Yeast,F,T,6
122,Full Yeast,F,T,6
123,Half Yeast,F,T,6
124,Half Yeast,F,T,6
125,No Yeast,F,T,6
126,No Yeast,F,T,6
127,Full Yeast,F,T,6
128,Full Yeast,F,T,6
129,Half Yeast,F,T,6
130,Half Yeast,F,T,6
131,No Yeast,F,T,6
132,No Yeast,F,T,6
133,Full Yeast,F,F,6
134,Full Yeast,F,F,6
135,Half Yeast,F,F,6
136,Half Yeast,F,F,6
137,No Yeast,F,F,6
138,No Yeast,F,F,6
139,Full Yeast,F,F,6
140,Full Yeast,F,F,6
141,Half Yeast,F,F,6
142,Half Yeast,F,F,6
143,No Yeast,F,F,6
144,No Yeast,F,F,6
145,Full Yeast,F,T,7
146,Full Yeast,F,T,7
147,Half Yeast,F,T,7
148,Half Yeast,F,T,7
149,No Yeast,F,T,7
150,No Yeast,F,T,7
151,Full Yeast,F,T,7
152,Full Yeast,F,T,7
153,Half Yeast,F,T,7
154,Half Yeast,F,T,7
155,No Yeast,F,T,7
156,No Yeast,F,T,7
157,Full Yeast,F,F,7
158,Full Yeast,F,F,7
159,Half Yeast,F,F,7
160,Half Yeast,F,F,7
161,No Yeast,F,F,7
162,No Yeast,F,F,7
163,Full Yeast,F,F,7
164,Full Yeast,F,F,7
165,Half Yeast,F,F,7
166,Half Yeast,F,F,7
167,No Yeast,F,F,7
168,No Yeast,F,F,7
169,Full Yeast,F,T,8
170,Full Yeast,F,T,8
171,Half Yeast,F,T,8
172,Half Yeast,F,T,8
173,No Yeast,F,T,8
174,No Yeast,F,T,8
175,Full Yeast,F,T,8
176,Full Yeast,F,T,8
177,Half Yeast,F,T,8
178,Half Yeast,F,T,8
179,No Yeast,F,T,8
180,No Yeast,F,T,8
181,Full Yeast,F,F,8
182,Full Yeast,F,F,8
183,Half Yeast,F,F,8
184,Half Yeast,F,F,8
185,No Yeast,F,F,8
186,No Yeast,F,F,8
187,Full Yeast,F,F,8
188,Full Yeast,F,F,8
189,Half Yeast,F,F,8
190,Half Yeast,F,F,8
191,No Yeast,F,F,8
192,No Yeast,F,F,8
193,Full Yeast,F,T,9
194,Full Yeast,F,T,9
195,Half Yeast,F,T,9
196,Half Yeast,F,T,9
197,No Yeast,F,T,9
198,No Yeast,F,T,9
199,Full Yeast,F,T,9
200,Full Yeast,F,T,9
201,Half Yeast,F,T,9
202,Half Yeast,F,T,9
203,No Yeast,F,T,9
204,No Yeast,F,T,9
205,Full Yeast,F,F,9
206,Full Yeast,F,F,9
207,Half Yeast,F,F,9
208,Half Yeast,F,F,9
209,No Yeast,F,F,9
210,No Yeast,F,F,9
211,Full Yeast,F,F,9
212,Full Yeast,F,F,9
213,Half Yeast,F,F,9
214,Half Yeast,F,F,9
215,No Yeast,F,F,9
216,No Yeast,F,F,9
217,Full Yeast,F,T,10
218,Full Yeast,F,T,10
219,Half Yeast,F,T,10
220,Half Yeast,F,T,10
221,No Yeast,F,T,10
222,No Yeast,F,T,10
223,Full Yeast,F,T,10
224,Full Yeast,F,T,10
225,Half Yeast,F,T,10
226,Half Yeast,F,T,10
227,No Yeast,F,T,10
228,No Yeast,F,T,10
229,Full Yeast,F,F,10
230,Full Yeast,F,F,10
231,Half Yeast,F,F,10
232,Half Yeast,F,F,10
233,No Yeast,F,F,10
234,No Yeast,F,F,10
235,Full Yeast,F,F,10
236,Full Yeast,F,F,10
237,Half Yeast,F,F,10
238,Half Yeast,F,F,10
239,No Yeast,F,F,10
240,No Yeast,F,F,10
241,Full Yeast,F,T,11
242,Full Yeast,F,T,11
243,Half Yeast,F,T,11
244,Half Yeast,F,T,11
245,No Yeast,F,T,11
246,No Yeast,F,T,11
247,Full Yeast,F,T,11
248,Full Yeast,F,T,11
249,Half Yeast,F,T,11
250,Half Yeast,F,T,11
251,No Yeast,F,T,11
252,No Yeast,F,T,11
253,Full Yeast,F,F,11
254,Full Yeast,F,F,11
255,Half Yeast,F,F,11
256,Half Yeast,F,F,11
257,No Yeast,F,F,11
258,No Yeast,F,F,11
259,Full Yeast,F,F,11
260,Full Yeast,F,F,11
261,Half Yeast,F,F,11
262,Half Yeast,F,F,11
263,No Yeast,F,F,11
264,No Yeast,F,F,11
265,Full Yeast,F,T,12
266,Full Yeast,F,T,12
267,Half Yeast,F,T,12
268,Half Yeast,F,T,12
269,No Yeast,F,T,12
270,No Yeast,F,T,12
271,Full Yeast,F,T,12
272,Full Yeast,F,T,12
273,Half Yeast,F,T,12
274,Half Yeast,F,T,12
275,No Yeast,F,T,12
276,No Yeast,F,T,12
277,Full Yeast,F,F,12
278,Full Yeast,F,F,12
279,Half Yeast,F,F,12
280,Half Yeast,F,F,12
281,No Yeast,F,F,12
282,No Yeast,F,F,12
283,Full Yeast,F,F,12
284,Full Yeast,F,F,12
285,Half Yeast,F,F,12
286,Half Yeast,F,F,12
287,No Yeast,F,F,12
288,No Yeast,F,F,12
